RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
22,15801497,Johnson,418,Spain,Female,28,5,0.0,2,0,0,114004.11478979634,1
23,15779877,Williams,564,France,Female,30,1,222183.5890287046,1,1,0,125371.5042700494,0
24,15750480,Brown,510,Spain,Male,37,5,0.0,1,1,0,61900.898173830785,1
25,15824496,Jones,451,France,Male,37,1,0.0,2,0,1,181774.22946206463,1
26,15722431,Garcia,725,France,Female,45,5,70141.93959779349,1,0,0,1795.0261476151152,1
27,15715204,Miller,555,France,Male,32,8,157023.25115375762,1,1,0,35844.30763019217,1
28,15696224,Davis,494,France,Female,19,6,27666.14487854599,2,0,1,129223.12149096177,1
29,15568448,Rodriguez,406,France,Male,36,3,92704.59872566894,1,1,0,194596.45553152822,1
30,15689556,Martinez,432,Spain,Female,37,0,0.0,1,1,1,30469.798578432958,0
31,15631426,Smith,830,France,Female,36,8,199067.43864072478,2,1,0,141431.48339367015,1
32,15695682,Johnson,734,France,Male,36,0,117365.85059294364,1,1,0,49220.18851417599,1
33,15650355,Williams,618,France,Male,35,4,218643.90443621145,4,1,0,40174.34826355141,1
34,15633136,Brown,843,Spain,Male,25,6,83077.00298653592,1,1,1,60979.93294003289,0
35,15597252,Jones,760,Spain,Male,53,9,0.0,1,0,0,33958.276164736504,1
36,15839239,Garcia,803,France,Male,53,9,98596.95607518993,1,1,0,104880.66650087512,1
37,15569591,Miller,536,Spain,Male,52,5,231662.74294960717,1,1,0,189543.38985437198,1
38,15607307,Davis,355,Spain,Male,27,2,0.0,3,1,0,184564.86151968242,1
39,15822541,Rodriguez,702,France,Female,43,10,35016.3456855849,2,1,1,106959.6399062637,1
40,15707400,Martinez,699,Spain,Female,34,7,0.0,1,1,1,147974.4742183276,0
41,15836637,Smith,459,Spain,Female,34,10,79683.5762747147,2,0,1,39612.71217655681,1
42,15805632,Johnson,832,Spain,Male,29,6,197323.48049911868,3,1,1,111264.2766790941,1
43,15805330,Williams,756,France,Female,64,8,0.0,2,0,0,155260.83791976122,0
44,15770742,Brown,487,France,Female,36,0,204791.48759420312,1,0,1,64507.17419978316,1
45,15739774,Jones,400,France,Female,29,7,0.0,1,0,0,41843.86560365498,0
46,15773325,Garcia,752,Spain,Male,40,3,34146.22185090316,3,1,1,58149.84253952291,1
47,15633849,Miller,400,Germany,Female,46,6,62700.786751394706,3,0,1,55301.75916653165,1
48,15818502,Davis,825,France,Female,37,6,235839.0675042436,1,1,0,54200.75873111058,1
49,15689944,Rodriguez,436,France,Male,41,3,140903.57853033306,1,0,1,12888.570993393132,1
50,15817696,Martinez,417,Germany,Male,49,7,59330.81146208905,1,1,1,99756.891757548,1
51,15720256,Smith,433,Germany,Female,29,0,8327.102719836665,2,1,1,32031.474737366,1
52,15614256,Johnson,816,Germany,Male,40,4,24457.39050368634,1,1,1,179785.5503761374,0
53,15822209,Williams,391,Spain,Female,32,3,79176.6041121873,3,1,1,160244.86412766506,1
54,15845004,Brown,568,Germany,Male,31,3,0.0,3,1,0,182086.71164064124,1
55,15672231,Jones,406,France,Female,56,2,225542.60836809748,1,1,0,174525.54597263283,0
56,15645778,Garcia,575,France,Male,38,0,244647.99506063893,2,0,0,71344.11578648571,1
57,15766252,Miller,545,France,Male,28,4,0.0,1,1,1,154638.08264422326,0
58,15847302,Davis,597,Spain,Male,37,7,123106.67977212745,2,1,0,99671.6634968026,0
59,15773962,Rodriguez,515,France,Female,26,9,97505.49065159072,1,1,0,51130.28891980236,1
60,15805882,Martinez,411,France,Male,36,5,0.0,1,0,0,72248.10521852644,0
61,15737530,Smith,612,France,Female,32,0,0.0,1,1,1,114369.22352525592,0
62,15837537,Johnson,461,France,Male,44,4,187940.90933856738,1,1,0,169091.45411094138,1
63,15767984,Williams,602,Germany,Male,58,5,161894.1046863508,1,1,0,2446.1417934946817,1
64,15762470,Brown,548,France,Male,37,8,173272.4670471866,2,1,0,88197.18885222226,0
65,15602766,Jones,527,France,Male,32,8,140335.387569977,1,1,0,1138.2311119480512,1
66,15788866,Garcia,785,Germany,Male,39,4,0.0,2,1,1,57504.413357583726,1
67,15665000,Miller,375,France,Male,53,2,0.0,1,0,0,82001.32650788089,1
68,15577235,Davis,759,Spain,Female,44,5,0.0,1,1,0,93161.90920534302,0
69,15606098,Rodriguez,595,Germany,Male,37,10,0.0,2,1,1,148100.90568240613,1
70,15823451,Martinez,368,Germany,Male,18,7,234960.77648046304,1,1,1,146443.48252681858,1
71,15828861,Smith,614,Germany,Male,38,10,118064.02094005705,1,1,1,62407.30399932154,0
72,15621292,Johnson,666,France,Male,46,4,204213.46790942052,3,1,1,73367.19964573022,1
73,15786585,Williams,369,Spain,Male,48,7,44086.75391954833,1,1,1,51870.429133594545,1
74,15588948,Brown,455,France,Male,52,0,66752.3641322354,2,1,1,78297.2205077896,1
75,15590001,Jones,586,France,Male,32,7,62425.1287327722,1,1,0,67847.17367404637,1
76,15648499,Garcia,655,France,Female,34,1,143518.00884364042,3,1,1,132948.93878840757,1
77,15574969,Miller,813,France,Male,37,6,70640.42207750252,1,0,0,26045.434669058268,0
78,15840030,Davis,595,Germany,Female,46,1,0.0,1,1,1,5760.822999759888,1
79,15760477,Rodriguez,430,France,Female,36,2,143588.9607150245,1,1,0,3954.697281784575,1
80,15783552,Martinez,499,Spain,Female,44,4,0.0,2,1,1,193048.54135266022,1
81,15802285,Smith,746,France,Male,35,9,20835.88952912324,2,0,1,49250.50193113391,1
82,15603745,Johnson,745,France,Female,31,6,57822.25209008673,1,0,1,146437.0471988411,0
83,15614685,Williams,359,Germany,Male,50,8,245899.3738240205,4,1,1,143921.2808890692,1
84,15830413,Brown,670,France,Male,42,4,162478.9023620819,3,1,0,167244.64960072385,1
85,15685852,Jones,573,Spain,Male,46,10,241326.56865359936,1,1,1,77609.57226933452,1
86,15699468,Garcia,763,France,Male,36,0,125873.74109830316,1,0,0,129613.27451572372,1
87,15690076,Miller,613,France,Male,47,10,0.0,1,0,1,72576.09107167812,1
88,15744963,Davis,498,France,Female,28,2,0.0,3,0,0,46902.81835122069,1
89,15702031,Rodriguez,627,Germany,Female,29,4,227564.06213799602,2,0,1,197268.42194938444,0
90,15729932,Martinez,623,France,Male,48,2,0.0,3,1,1,180638.4718238462,1
91,15579687,Smith,543,France,Female,38,7,19966.432103566163,1,1,0,92854.37139954983,0
92,15627559,Johnson,781,France,Male,36,7,230285.99976541856,4,1,1,121587.24217827791,1
93,15695013,Williams,521,Germany,Male,29,10,138714.4644860552,2,1,0,193888.87814354643,1
94,15578367,Brown,614,Spain,Female,47,0,0.0,1,1,0,68538.7916355838,0
95,15700334,Jones,800,Spain,Male,57,7,248124.9179960909,1,1,1,168130.38611763628,0
96,15854699,Garcia,659,France,Male,45,3,0.0,2,1,0,79265.38653653332,0
97,15670189,Miller,375,Germany,Female,34,10,83049.96789996009,1,1,1,174593.03066357272,1
98,15749024,Davis,818,Germany,Male,52,5,246588.55708584163,2,0,0,97341.37008376009,0
99,15850507,Rodriguez,699,Germany,Male,42,9,0.0,2,1,0,106542.45024158893,1
100,15836237,Martinez,825,Germany,Male,34,7,0.0,1,1,0,151251.6976178283,1
101,15596236,Smith,705,Spain,Male,51,1,37932.409416761126,1,0,0,176269.7440032688,0
102,15643074,Johnson,375,France,Female,37,7,188313.8887665098,2,0,1,53038.073574877,0
103,15689385,Williams,383,Germany,Male,24,6,0.0,4,1,0,150428.78216459724,1
104,15838810,Brown,613,Germany,Female,35,3,0.0,1,1,0,189801.59083400172,1
105,15590239,Jones,487,France,Male,44,4,36494.27392015509,2,0,0,4512.200747169743,1
106,15767365,Garcia,653,France,Male,31,5,0.0,1,1,1,31367.334392406934,0
107,15704883,Miller,532,Germany,Male,20,2,93881.49719824195,1,1,1,70905.9180621557,1
108,15724039,Davis,712,France,Male,53,1,78698.17794474901,3,1,1,157275.0180188805,1
109,15749765,Rodriguez,591,Germany,Female,68,1,119452.5769890147,1,1,0,117044.2661790592,1
110,15779721,Martinez,403,France,Male,34,3,240727.76885486717,1,0,0,184405.91083070653,1
111,15664507,Smith,811,France,Male,32,6,214632.90401349243,1,0,0,92593.14431623794,1
112,15656683,Johnson,517,France,Male,25,0,167472.72210157567,1,0,1,100090.0018163245,1
113,15687327,Williams,468,France,Female,30,0,27482.289851112786,2,0,1,112050.28905956226,1
114,15684877,Brown,492,France,Male,23,3,62551.528305209715,3,1,1,181397.4182046967,1
115,15783827,Jones,430,France,Male,25,8,45968.00141295085,1,1,0,11900.07107511376,1
116,15784670,Garcia,594,Spain,Male,39,4,40398.47958185053,1,1,1,102173.17375495726,1
117,15688110,Miller,751,Germany,Male,23,0,0.0,3,0,0,75290.10197051085,1
118,15589120,Davis,701,France,Female,24,2,49631.90848061488,1,1,0,61245.90493771857,1
119,15819319,Rodriguez,707,Spain,Male,41,10,215887.08383733997,3,1,0,143248.87325366557,0
120,15811011,Martinez,756,Spain,Male,32,5,31990.51810051337,3,0,0,67587.52643266802,0
121,15615716,Smith,411,Spain,Female,42,2,122047.99393924729,4,1,1,4918.6565363828095,0
122,15814251,Johnson,395,Spain,Male,35,10,0.0,1,1,0,42804.52305944192,1
123,15687797,Williams,436,France,Male,37,5,80615.35085668167,1,0,1,58326.33023130787,1
124,15672760,Brown,448,France,Female,46,5,137560.48825752843,2,0,0,36264.09954376717,1
125,15751041,Jones,644,France,Female,33,4,16013.051370509735,1,0,1,152733.72139766352,0
126,15676388,Garcia,748,France,Female,46,9,209669.30497551642,2,1,1,121157.51336548921,0
127,15777129,Miller,402,Spain,Female,34,4,223280.65036985232,1,0,0,138208.7087293229,0
128,15671579,Davis,821,France,Female,30,8,139980.82505969008,1,0,0,108298.01251808934,1
129,15768683,Rodriguez,541,Germany,Female,28,2,238952.8027202319,1,1,1,136475.59186013075,1
130,15763987,Martinez,796,Germany,Female,22,10,9560.84759172643,1,1,1,143055.46491483456,0
131,15814703,Smith,825,Germany,Male,26,9,100439.2811045143,1,1,0,151916.9776212164,0
132,15816097,Johnson,429,Germany,Male,21,6,97643.99804271683,1,0,0,155539.41214415428,1
133,15730600,Williams,365,France,Female,29,3,59400.909461351235,2,1,1,54933.68369064916,1
134,15609286,Brown,709,Spain,Male,47,1,0.0,2,1,0,48211.986173114434,1
135,15629745,Jones,836,France,Male,38,9,100965.18150531113,1,1,1,144560.31286213515,0
136,15675257,Garcia,675,Germany,Male,35,2,186506.88347296562,2,0,1,196553.1936528569,1
137,15568394,Miller,543,Germany,Male,32,2,121623.53274431429,1,1,1,144958.6730964383,1
138,15809008,Davis,490,Germany,Female,38,2,201845.4996921389,1,1,0,101206.122656949,1
139,15765936,Rodriguez,457,France,Female,39,2,0.0,1,0,0,61045.01107978267,1
140,15591640,Martinez,652,Germany,Female,27,9,23457.531885499568,1,1,1,26435.84078660158,0
141,15718607,Smith,614,France,Male,43,5,0.0,1,1,1,116435.7296386767,0
142,15583748,Johnson,796,France,Male,35,5,189375.2161572635,1,0,0,16592.46411450705,0
143,15853950,Williams,639,Germany,Male,41,10,53892.41436628897,1,0,0,185343.79268094932,1
144,15641467,Brown,558,France,Female,38,8,156233.4527288124,2,0,1,12858.190469106868,1
145,15609963,Jones,824,Germany,Male,24,7,62857.99079110124,1,1,1,26876.942259121442,1
146,15851621,Garcia,762,France,Male,52,9,0.0,1,0,1,151854.20705879215,1
147,15726853,Miller,514,Germany,Male,38,6,176651.2730517544,4,1,0,177722.0068730977,0
148,15694077,Davis,776,France,Female,35,1,239529.40693456557,3,0,0,36447.99531790804,0
149,15703549,Rodriguez,691,Germany,Male,44,9,69559.29492300974,1,1,1,10484.615746285526,1
150,15658488,Martinez,720,Germany,Male,27,1,0.0,2,1,0,27103.334030209102,1
151,15693649,Smith,669,Germany,Male,23,0,123449.26403402351,1,0,0,142838.33767461282,1
152,15620717,Johnson,501,France,Male,44,6,204971.3688096696,1,1,1,177903.99241301956,1
153,15587660,Williams,804,Germany,Female,50,6,134671.44064258636,2,1,1,143241.68981849618,0
154,15702303,Brown,639,France,Male,41,0,0.0,1,0,0,73226.69498365122,1
155,15791629,Jones,781,France,Female,47,5,87954.13289468987,3,1,1,120885.52503207947,1
156,15831593,Garcia,617,France,Male,26,10,0.0,2,1,0,101847.03247358307,1
157,15794277,Miller,500,Germany,Female,35,6,191681.5841131314,1,0,0,104158.23794695451,1
158,15579246,Davis,556,France,Female,32,0,244364.219366107,1,1,0,165133.7215581023,1
159,15731539,Rodriguez,604,Germany,Male,49,5,139451.77210475548,1,1,1,191109.94857639787,1
160,15626788,Martinez,702,Spain,Male,43,9,112330.46285821058,1,1,1,177469.89285541754,0
161,15634541,Smith,726,France,Male,49,8,249197.6747415132,1,1,0,151706.29634134975,1
162,15684152,Johnson,490,Germany,Male,32,0,0.0,1,1,1,91571.97084006047,1
163,15605054,Williams,692,France,Male,27,1,16937.16152487032,1,0,1,47622.06196980842,0
164,15758776,Brown,707,Germany,Female,52,1,134398.94573272526,1,1,0,75241.27937325377,1
165,15779984,Jones,445,France,Female,39,9,0.0,2,0,1,172872.15379929185,1
166,15631019,Garcia,778,Spain,Male,49,2,63423.96657002172,1,0,0,1546.9127819906894,1
167,15806726,Miller,719,France,Female,38,3,0.0,2,0,1,64258.583213336766,0
168,15632873,Davis,576,France,Male,61,6,249854.76911329335,1,1,1,97743.42856094646,1
169,15782389,Rodriguez,542,France,Female,50,2,185708.25384864197,2,0,1,8027.951272839452,1
170,15822652,Martinez,652,France,Female,37,6,222443.3119578265,1,1,0,20927.933929854935,1
171,15658965,Smith,663,France,Male,39,4,0.0,1,0,1,141598.1055136633,1
172,15812159,Johnson,842,France,Male,39,4,0.0,1,1,1,188685.70449919303,0
173,15854581,Williams,738,France,Female,27,6,0.0,1,1,0,134907.2394728924,0
174,15790982,Brown,726,Germany,Female,34,6,53575.05173530014,1,1,1,47136.5860638919,0
175,15678560,Jones,810,Spain,Female,33,6,102946.103634948,2,0,0,59555.53272136003,0
176,15835237,Garcia,467,Germany,Female,41,8,100072.77010774026,1,0,0,121357.24147683165,1
177,15823127,Miller,354,Spain,Male,30,0,184933.02055537334,2,1,1,197165.52127629903,1
178,15743490,Davis,793,Spain,Male,37,0,181622.7583232486,1,1,1,130635.46036075223,0
179,15783865,Rodriguez,701,Spain,Female,35,2,156788.84927352663,4,1,1,16659.04858669475,0
180,15691358,Martinez,592,France,Female,39,5,189802.9226354886,3,1,0,34557.33947255283,1
181,15800868,Smith,370,Spain,Female,53,1,191770.57524911503,1,1,0,142613.20392111875,1
182,15723082,Johnson,501,France,Female,49,8,0.0,1,1,1,148623.13786186493,1
183,15760507,Williams,477,Germany,Male,25,0,162448.21008466822,3,1,1,15435.339258118418,1
184,15636168,Brown,473,Germany,Female,38,4,185708.25384864197,2,0,0,115681.4618346223,0
185,15749435,Jones,495,France,Female,35,6,29628.242721676994,1,0,0,164078.69836959348,0
186,15664207,Garcia,626,Germany,Male,32,9,149052.67496404442,1,1,1,38222.72126833922,0
187,15675452,Miller,659,France,Female,60,2,194008.17531174765,1,0,0,141097.89117374102,1
188,15853187,Davis,743,France,Male,33,1,36527.84014536617,1,1,0,82383.78863308592,0
189,15733930,Rodriguez,501,France,Male,34,2,29213.863937320533,1,1,0,131187.20476707057,1
190,15671782,Martinez,709,Germany,Female,56,6,0.0,2,1,0,111976.074586194,1
191,15654746,Smith,460,Germany,Male,48,0,53486.19679353944,4,0,0,187562.47917482213,1
192,15600399,Johnson,818,Germany,Male,34,7,173075.31710364067,4,1,1,31506.173393459263,1
193,15675779,Williams,822,France,Male,46,2,0.0,3,1,0,42465.87411535424,0
194,15588372,Brown,465,Spain,Male,36,4,227377.69067199953,2,1,0,35483.38013253224,0
195,15651903,Jones,537,Spain,Male,37,9,49888.74411766553,1,1,1,140129.01727663146,1
196,15617364,Garcia,406,France,Male,30,10,0.0,1,0,1,36923.737769583284,1
197,15581409,Miller,600,Spain,Male,18,4,91299.4724018854,2,1,0,83051.81158808777,1
198,15699584,Davis,733,France,Male,24,5,213203.95949457944,1,0,1,177167.4713763954,1
199,15678248,Rodriguez,756,France,Female,27,6,95489.79421292311,2,0,0,55624.60520862047,1
200,15600455,Martinez,499,France,Male,43,10,164653.88575163623,1,1,1,29942.36289452659,0
201,15792515,Smith,801,Spain,Female,40,0,107831.93953475264,2,1,1,106650.60633798894,1
202,15803415,Johnson,511,France,Female,49,5,50918.90395596785,1,0,0,131094.24621199103,1
203,15708184,Williams,469,France,Male,26,1,69682.8290085977,2,1,1,99248.91223602273,1
204,15699684,Brown,419,France,Male,56,9,36344.32632499901,3,0,0,109298.32514920383,1
205,15780536,Jones,761,France,Female,55,2,132983.28802723682,3,1,0,38570.91925009558,1
206,15650597,Garcia,700,France,Male,39,4,178535.9376932419,1,1,1,58957.21358797431,1
207,15636996,Miller,448,France,Male,32,0,0.0,1,1,1,131835.8726684947,1
208,15785387,Davis,516,Spain,Female,32,6,0.0,2,1,0,161325.82806169015,0
209,15838956,Rodriguez,647,France,Female,40,0,0.0,2,0,1,72159.49218656856,1
210,15698575,Martinez,500,Germany,Female,57,7,211270.01603145353,1,0,0,141878.14831903757,1
211,15573856,Smith,675,Spain,Female,38,10,0.0,4,0,0,39530.79598369544,1
212,15612955,Johnson,813,France,Male,23,5,0.0,1,1,0,59482.797247626,0
213,15849763,Williams,351,France,Female,57,10,0.0,1,0,1,1313.141096897949,0
214,15651682,Brown,501,Germany,Female,34,0,57313.33319838205,2,0,0,44031.114150227906,0
215,15596007,Jones,750,France,Male,53,6,112405.42232275724,1,1,1,152365.7833062656,0
216,15713419,Garcia,714,France,Male,45,9,248241.91797041282,1,0,0,16982.21626348426,0
217,15686676,Miller,414,France,Female,37,2,75519.08135295585,1,1,1,15602.383505834707,0
218,15673213,Davis,675,Spain,Female,48,6,0.0,1,1,1,127872.29060074607,1
219,15713144,Rodriguez,418,Spain,Female,31,10,183074.63481669387,4,1,0,100063.77431625227,1
220,15698822,Martinez,470,Germany,Male,36,7,67628.22007030988,1,1,1,154914.8585990722,1
221,15728389,Smith,458,Germany,Male,33,9,59701.556839904355,1,1,0,78201.48147699992,1
222,15848777,Johnson,665,France,Male,36,2,0.0,1,0,1,112419.13405658574,0
223,15683497,Williams,596,France,Female,44,4,77095.38042225181,3,0,0,188159.56520684905,1
224,15758207,Brown,783,France,Male,44,9,0.0,1,0,1,173911.0157921614,1
225,15739789,Jones,442,France,Female,23,1,19638.947923790034,1,1,0,120313.093747842,0
226,15835245,Garcia,617,France,Female,33,1,96508.03814534358,1,1,0,95907.47322192385,1
227,15739415,Miller,452,France,Female,35,0,0.0,1,1,1,9724.546174836894,0
228,15580852,Davis,780,France,Male,44,2,245708.21574224168,1,1,1,105497.27060471842,0
229,15632391,Rodriguez,800,France,Male,24,3,17002.163598738072,2,1,0,93742.9058635844,1
230,15570200,Martinez,461,France,Male,46,2,0.0,1,1,0,186017.05592176534,1
231,15571996,Smith,670,Germany,Male,27,10,12531.845739426895,1,1,0,81010.52843343167,1
232,15840028,Johnson,760,Spain,Female,41,7,95111.57306578255,1,1,0,124334.42197929174,1
233,15709647,Williams,653,Germany,Female,50,0,113686.96728877636,2,1,0,182937.3084104698,1
234,15598412,Brown,693,France,Male,26,4,99725.92220681802,1,1,0,38926.25952371675,0
235,15833384,Jones,411,France,Male,41,6,0.0,1,1,1,75158.90443965755,1
236,15750124,Garcia,649,France,Male,37,8,140617.48198105703,1,0,1,72933.72680075388,0
237,15745127,Miller,752,France,Female,29,0,225900.67141093352,1,1,1,56715.46385180508,0
238,15699330,Davis,792,France,Male,26,8,0.0,1,1,1,172501.13294466818,0
239,15778791,Rodriguez,485,Germany,Female,31,10,65140.1235394723,2,1,1,136178.01867465195,1
240,15698973,Martinez,404,Germany,Male,30,8,3499.5232109570893,3,1,0,195025.70204377826,0
241,15809249,Smith,457,France,Male,36,3,0.0,1,1,0,163788.40076359114,1
242,15743748,Johnson,652,France,Male,34,9,239782.3861963851,4,1,1,176593.72005397512,1
243,15849202,Williams,607,France,Female,43,4,246295.31459926025,1,1,0,8196.466371343704,1
244,15684822,Brown,602,France,Male,47,5,38188.250067788,1,1,0,3581.8353514188316,1
245,15643206,Jones,571,France,Male,23,3,0.0,1,1,1,132328.86701427223,1
246,15568570,Garcia,827,France,Female,36,5,44033.07522799493,1,1,0,122240.16264508046,0
247,15822887,Miller,718,France,Female,29,4,59265.017694725335,1,1,0,4949.332952276111,0
248,15677997,Davis,516,France,Male,28,2,0.0,1,0,1,14187.683523292953,0
249,15659880,Rodriguez,778,France,Female,23,2,42077.75617291623,1,1,0,95384.12263881539,0
250,15655973,Martinez,509,France,Female,22,8,116777.94176387132,1,1,1,159996.8436172899,1
251,15604168,Smith,798,France,Male,33,4,166048.71729853403,1,0,1,144529.68269189636,1
252,15851173,Johnson,515,Germany,Male,42,10,71697.08952169374,2,1,0,104901.39297470855,1
253,15700760,Williams,554,France,Female,42,2,55739.79477558599,1,1,0,89389.88606677549,1
254,15624572,Brown,616,Germany,Male,28,7,206243.21271532588,1,1,1,157123.34940188195,1
255,15694092,Jones,487,Germany,Male,27,7,0.0,2,1,1,62390.163407328226,1
256,15652117,Garcia,717,Germany,Male,41,2,239512.69274694033,3,1,1,146420.5858926917,0
257,15822388,Miller,792,Germany,Male,34,6,19317.01801168864,1,1,0,183192.8474710651,1
258,15766864,Davis,695,Spain,Male,47,8,211559.51206563172,1,1,0,39011.5615798875,1
259,15673151,Rodriguez,597,Germany,Female,27,2,131859.5424998762,3,1,1,82485.33343294793,1
260,15737591,Martinez,404,France,Male,20,7,0.0,2,1,1,81463.35325386273,1
261,15847675,Smith,753,France,Female,45,0,225135.06408038846,4,1,0,86906.09905049417,1
262,15682082,Johnson,558,Germany,Female,20,2,62700.786751394706,2,0,0,12268.933965588592,0
263,15613034,Williams,366,Germany,Male,24,3,0.0,1,1,1,143556.4961409611,1
264,15700209,Brown,417,Germany,Female,32,2,177916.36671564681,1,1,0,125064.25028740379,1
265,15771063,Jones,482,Germany,Male,36,8,180394.09305608246,1,1,1,173313.8722652223,0
266,15716511,Garcia,537,Germany,Male,45,9,157467.87889102352,1,0,0,12485.835395173921,0
267,15615078,Miller,756,Spain,Female,28,4,0.0,2,1,0,106081.28711155649,0
268,15702373,Davis,779,Germany,Female,52,2,146030.21581561666,1,0,1,40008.87118486015,1
269,15791433,Rodriguez,657,Spain,Male,23,2,0.0,1,1,0,135810.27916521518,0
270,15737537,Martinez,487,Germany,Male,35,10,104128.03349213918,2,0,1,156702.7489054104,0
271,15771316,Smith,523,Germany,Male,47,1,0.0,1,0,0,95562.5781745783,1
272,15611415,Johnson,761,Germany,Male,47,9,155267.29968026365,1,1,1,40854.03736545216,1
273,15668647,Williams,446,Spain,Female,18,5,116776.45216274896,2,0,0,122121.80521025376,1
274,15671684,Brown,520,France,Female,66,8,691.7750273970347,3,1,0,28097.65414057063,1
275,15753264,Jones,503,France,Male,35,6,38266.977910186375,1,1,1,74864.77717695225,1
276,15689824,Garcia,532,Germany,Female,41,1,231637.2651466087,2,0,1,123115.99111704336,1
277,15648690,Miller,591,Spain,Male,35,8,37509.09270611239,1,1,1,188733.79615697212,0
278,15743975,Davis,653,France,Male,60,2,0.0,1,1,1,132814.95060795368,0
279,15729408,Rodriguez,634,France,Male,51,6,200897.87186243455,2,0,1,126843.08532439225,0
280,15831265,Martinez,376,Germany,Male,60,9,195273.4463554062,2,1,1,144908.78989141437,1
281,15697074,Smith,751,Germany,Male,43,6,214163.56903038043,1,0,0,33969.26488843757,1
282,15680995,Johnson,709,Germany,Male,48,3,0.0,2,1,0,147106.92808971368,1
283,15689720,Williams,409,Spain,Male,28,3,176813.1321458544,1,0,0,48579.40525840832,1
284,15631427,Brown,551,France,Male,36,1,0.0,1,1,1,148596.04738129044,0
285,15707265,Jones,599,France,Male,48,1,178200.60389474058,2,1,1,178501.90768135668,1
286,15833947,Garcia,711,France,Male,42,1,0.0,3,1,1,102859.74322637498,1
287,15747109,Miller,418,Germany,Male,40,10,8133.900756821272,1,0,0,2076.0078492294697,1
288,15683716,Davis,807,France,Male,31,4,229649.58944887694,1,0,0,119952.99369615896,1
289,15782087,Rodriguez,719,Spain,Female,50,2,193502.30624504137,1,1,0,68942.78135746131,1
290,15819780,Martinez,370,Spain,Female,50,9,0.0,1,1,1,110088.68097625914,1
291,15592342,Smith,501,Spain,Female,49,6,0.0,1,0,1,83591.47257007819,0
292,15731357,Johnson,451,Germany,Female,41,6,118864.0257513028,4,1,0,132332.0416202522,1
293,15729518,Williams,736,France,Female,39,5,221621.92131980197,1,1,0,63125.49300437964,1
294,15602332,Brown,837,Germany,Female,50,7,192388.50512693488,1,1,0,75396.43921223117,1
295,15807990,Jones,444,France,Male,48,10,219959.69635582026,2,1,1,7602.409822149947,1
296,15638692,Garcia,795,France,Male,30,3,0.0,1,1,1,28357.2747910662,0
297,15569715,Miller,710,France,Female,42,8,120311.86568282565,3,1,0,76345.02555387272,0
298,15838938,Davis,578,France,Female,45,9,0.0,3,1,0,462.39791881632016,1
299,15583771,Rodriguez,474,Germany,Male,32,9,0.0,3,1,0,2749.4581207460546,0
300,15622659,Martinez,607,Spain,Male,48,4,0.0,1,1,0,126244.96191682405,1
301,15647775,Smith,671,France,Male,46,3,200949.47393171862,1,1,1,89326.33016635387,0
302,15576430,Johnson,836,France,Male,34,2,210406.88195475325,1,1,0,204.22644686122533,0
303,15796486,Williams,718,Spain,Male,25,8,230812.5773165346,1,1,1,50579.98709182216,1
304,15741790,Brown,775,Germany,Female,44,3,204255.6207611285,4,0,1,126954.51694986332,1
305,15763093,Jones,585,France,Female,58,8,0.0,1,0,1,39798.991392191434,1
